lexeme,variants,prs.1sg,prs.2sg,prs.3sg,prs.1pl,prs.2pl,prs.3pl,ipfv.1sg,ipfv.2sg,ipfv.3sg,ipfv.1pl,ipfv.2pl,ipfv.3pl,fut.1sg,fut.2sg,fut.3sg,fut.1pl,fut.2pl,fut.3pl,cond.1sg,cond.2sg,cond.3sg,cond.1pl,cond.2pl,cond.3pl,sbjv.1sg,sbjv.2sg,sbjv.3sg,sbjv.1pl,sbjv.2pl,sbjv.3pl,pst.1sg,pst.2sg,pst.3sg,pst.1pl,pst.2pl,pst.3pl,pst.sbjv.1sg,pst.sbjv.2sg,pst.sbjv.3sg,pst.sbjv.1pl,pst.sbjv.2pl,pst.sbjv.3pl,imp.2sg,imp.1pl,imp.2pl,inf,prs.ptcp,pst.ptcp.m.sg,pst.ptcp.m.pl,pst.ptcp.f.sg,pst.ptcp.f.pl
localiser,localiser,lOkaliz,lOkaliz,lOkaliz,lOkalizɔ̃,lOkalize,lOkaliz,lOkalizE,lOkalizE,lOkalizE,lOkalizjɔ̃,lOkalizje,lOkalizE,lOkalizəʁE,lOkalizəʁa,lOkalizəʁa,lOkalizəʁɔ̃,lOkalizəʁe,lOkalizəʁɔ̃,lOkalizəʁE,lOkalizəʁE,lOkalizəʁE,lOkalizəʁjɔ̃,lOkalizəʁje,lOkalizəʁE,lOkaliz,lOkaliz,lOkaliz,lOkalizjɔ̃,lOkalizje,lOkaliz,lOkalizE,lOkaliza,lOkaliza,lOkalizam,lOkalizat,lOkalizEʁ,lOkalizas,lOkalizas,lOkaliza,lOkalizasjɔ̃,lOkalizasje,lOkalizas,lOkaliz,lOkalizɔ̃,lOkalize,lOkalize,lOkalizɑ̃,lOkalize,lOkalize,lOkalize,lOkalize
lotir,lotir,loti,loti,loti,lotisɔ̃,lotise,lotis,lotisE,lotisE,lotisE,lotisjɔ̃,lotisje,lotisE,lotiʁE,lotiʁa,lotiʁa,lotiʁɔ̃,lotiʁe,lotiʁɔ̃,lotiʁE,lotiʁE,lotiʁE,lotiʁjɔ̃,lotiʁje,lotiʁE,lotis,lotis,lotis,lotisjɔ̃,lotisje,lotis,loti,loti,loti,lotim,lotit,lotiʁ,lotis,lotis,loti,lotisjɔ̃,lotisje,lotis,loti,lotisɔ̃,lotise,lotiʁ,lotisɑ̃,loti,loti,loti,loti
lober,lober,lɔb,lɔb,lɔb,lObɔ̃,lObe,lɔb,lObE,lObE,lObE,lObjɔ̃,lObje,lObE,lɔbəʁE,lɔbəʁa,lɔbəʁa,lɔbəʁɔ̃,lɔbəʁe,lɔbəʁɔ̃,lɔbəʁE,lɔbəʁE,lɔbəʁE,lɔbəʁjɔ̃,lɔbəʁje,lɔbəʁE,lɔb,lɔb,lɔb,lObjɔ̃,lObje,lɔb,lObE,lOba,lOba,lObam,lObat,lObEʁ,lObas,lObas,lOba,lObasjɔ̃,lObasje,lObas,lɔb,lObɔ̃,lObe,lObe,lObɑ̃,lObe,lObe,lObe,lObe
loquer,loquer,lɔk,lɔk,lɔk,lOkɔ̃,lOke,lɔk,lOkE,lOkE,lOkE,lOkjɔ̃,lOkje,lOkE,lɔkəʁE,lɔkəʁa,lɔkəʁa,lɔkəʁɔ̃,lɔkəʁe,lɔkəʁɔ̃,lɔkəʁE,lɔkəʁE,lɔkəʁE,lɔkəʁjɔ̃,lɔkəʁje,lɔkəʁE,lɔk,lɔk,lɔk,lOkjɔ̃,lOkje,lɔk,lOkE,lOka,lOka,lOkam,lOkat,lOkEʁ,lOkas,lOkas,lOka,lOkasjɔ̃,lOkasje,lOkas,lɔk,lOkɔ̃,lOke,lOke,lOkɑ̃,lOke,lOke,lOke,lOke
lorgner,lorgner,lɔʁɲ,lɔʁɲ,lɔʁɲ,lɔʁɲɔ̃,lɔʁɲe,lɔʁɲ,lɔʁɲE,lɔʁɲE,lɔʁɲE,lɔʁɲɔ̃,lɔʁɲe,lɔʁɲE,lɔʁɲəʁE,lɔʁɲəʁa,lɔʁɲəʁa,lɔʁɲəʁɔ̃,lɔʁɲəʁe,lɔʁɲəʁɔ̃,lɔʁɲəʁE,lɔʁɲəʁE,lɔʁɲəʁE,lɔʁɲəʁjɔ̃,lɔʁɲəʁje,lɔʁɲəʁE,lɔʁɲ,lɔʁɲ,lɔʁɲ,lɔʁɲɔ̃,lɔʁɲe,lɔʁɲ,lɔʁɲE,lɔʁɲa,lɔʁɲa,lɔʁɲam,lɔʁɲat,lɔʁɲEʁ,lɔʁɲas,lɔʁɲas,lɔʁɲa,lɔʁɲasjɔ̃,lɔʁɲasje,lɔʁɲas,lɔʁɲ,lɔʁɲɔ̃,lɔʁɲe,lɔʁɲe,lɔʁɲɑ̃,lɔʁɲe,lɔʁɲe,lɔʁɲe,lɔʁɲe
lover,lover,lɔv,lɔv,lɔv,lOvɔ̃,lOve,lɔv,lOvE,lOvE,lOvE,lOvjɔ̃,lOvje,lOvE,lɔvəʁE,lɔvəʁa,lɔvəʁa,lɔvəʁɔ̃,lɔvəʁe,lɔvəʁɔ̃,lɔvəʁE,lɔvəʁE,lɔvəʁE,lɔvəʁjɔ̃,lɔvəʁje,lɔvəʁE,lɔv,lɔv,lɔv,lOvjɔ̃,lOvje,lɔv,lOvE,lOva,lOva,lOvam,lOvat,lOvEʁ,lOvas,lOvas,lOva,lOvasjɔ̃,lOvasje,lOvas,lɔv,lOvɔ̃,lOve,lOve,lOvɑ̃,lOve,lOve,lOve,lOve
loger,loger,lɔʒ,lɔʒ,lɔʒ,lOʒɔ̃,lOʒe,lɔʒ,lOʒE,lOʒE,lOʒE,lOʒjɔ̃,lOʒje,lOʒE,lɔʒəʁE,lɔʒəʁa,lɔʒəʁa,lɔʒəʁɔ̃,lɔʒəʁe,lɔʒəʁɔ̃,lɔʒəʁE,lɔʒəʁE,lɔʒəʁE,lɔʒəʁjɔ̃,lɔʒəʁje,lɔʒəʁE,lɔʒ,lɔʒ,lɔʒ,lOʒjɔ̃,lOʒje,lɔʒ,lOʒE,lOʒa,lOʒa,lOʒam,lOʒat,lOʒEʁ,lOʒas,lOʒas,lOʒa,lOʒasjɔ̃,lOʒasje,lOʒas,lɔʒ,lOʒɔ̃,lOʒe,lOʒe,lOʒɑ̃,lOʒe,lOʒe,lOʒe,lOʒe
longer,longer,lɔ̃ʒ,lɔ̃ʒ,lɔ̃ʒ,lɔ̃ʒɔ̃,lɔ̃ʒe,lɔ̃ʒ,lɔ̃ʒE,lɔ̃ʒE,lɔ̃ʒE,lɔ̃ʒjɔ̃,lɔ̃ʒje,lɔ̃ʒE,lɔ̃ʒəʁE,lɔ̃ʒəʁa,lɔ̃ʒəʁa,lɔ̃ʒəʁɔ̃,lɔ̃ʒəʁe,lɔ̃ʒəʁɔ̃,lɔ̃ʒəʁE,lɔ̃ʒəʁE,lɔ̃ʒəʁE,lɔ̃ʒəʁjɔ̃,lɔ̃ʒəʁje,lɔ̃ʒəʁE,lɔ̃ʒ,lɔ̃ʒ,lɔ̃ʒ,lɔ̃ʒjɔ̃,lɔ̃ʒje,lɔ̃ʒ,lɔ̃ʒE,lɔ̃ʒa,lɔ̃ʒa,lɔ̃ʒam,lɔ̃ʒat,lɔ̃ʒEʁ,lɔ̃ʒas,lɔ̃ʒas,lɔ̃ʒa,lɔ̃ʒasjɔ̃,lɔ̃ʒasje,lɔ̃ʒas,lɔ̃ʒ,lɔ̃ʒɔ̃,lɔ̃ʒe,lɔ̃ʒe,lɔ̃ʒɑ̃,lɔ̃ʒe,lɔ̃ʒe,lɔ̃ʒe,lɔ̃ʒe
loufer,loufer,luf,luf,luf,lufɔ̃,lufe,luf,lufE,lufE,lufE,lufjɔ̃,lufje,lufE,lufəʁE,lufəʁa,lufəʁa,lufəʁɔ̃,lufəʁe,lufəʁɔ̃,lufəʁE,lufəʁE,lufəʁE,lufəʁjɔ̃,lufəʁje,lufəʁE,luf,luf,luf,lufjɔ̃,lufje,luf,lufE,lufa,lufa,lufam,lufat,lufEʁ,lufas,lufas,lufa,lufasjɔ̃,lufasje,lufas,luf,lufɔ̃,lufe,lufe,lufɑ̃,lufe,lufe,lufe,lufe
louper,louper,lup,lup,lup,lupɔ̃,lupe,lup,lupE,lupE,lupE,lupjɔ̃,lupje,lupE,lupəʁE,lupəʁa,lupəʁa,lupəʁɔ̃,lupəʁe,lupəʁɔ̃,lupəʁE,lupəʁE,lupəʁE,lupəʁjɔ̃,lupəʁje,lupəʁE,lup,lup,lup,lupjɔ̃,lupje,lup,lupE,lupa,lupa,lupam,lupat,lupEʁ,lupas,lupas,lupa,lupasjɔ̃,lupasje,lupas,lup,lupɔ̃,lupe,lupe,lupɑ̃,lupe,lupe,lupe,lupe
